,submission_time,num_gpus,duration
548,74,1,1800
549,74,1,102
550,75,1,174
551,76,1,1800
552,76,1,83
553,76,1,32
554,76,1,1393
555,77,1,52
556,77,1,1800
557,77,1,62
558,77,1,92
559,78,1,1800
560,78,1,23
561,78,1,1584
562,78,1,245
563,78,1,132
564,78,1,474
565,79,1,284
566,79,1,115
567,79,1,985
568,79,1,81
569,79,1,52
570,80,1,51
571,80,1,13
572,80,1,13
573,80,1,255
574,80,1,85
575,80,1,22
576,80,1,497
577,80,1,233
578,81,1,1253
579,81,1,53
580,81,1,285
581,81,1,23
582,82,8,1800
583,82,1,12
584,82,1,111
585,82,1,208
586,82,1,83
587,82,1,33
588,82,1,314
589,83,1,38
590,83,1,426
591,83,1,1800
592,83,1,478
593,83,1,35
594,83,1,266
595,83,1,360
596,83,1,173
597,83,1,13
598,83,1,461
599,83,1,546
600,83,1,266
601,84,1,292
602,84,1,334
603,84,1,1359
604,84,1,265
605,84,1,481
606,84,1,395
607,84,1,52
608,85,1,1800
609,85,1,272
610,85,1,386
611,85,1,12
612,86,1,43
613,86,1,676
614,86,1,224
615,86,1,40
616,86,1,940
617,86,1,142
618,87,1,1024
619,88,1,1763
620,88,1,33
621,89,1,1212
622,89,1,397
623,89,1,173
624,90,1,852
625,90,1,1800
626,90,1,1800
627,90,2,1476
628,90,1,802
629,90,1,486
630,91,1,132
631,91,1,1211
632,92,1,1800
633,92,1,548
634,93,1,1800
635,93,1,23
636,94,1,1107
637,94,1,196
638,94,1,87
639,94,1,1800
640,94,1,395
641,94,1,142
642,94,1,991
643,94,1,1080
644,94,1,1800
645,94,1,1800
646,94,1,82
647,94,1,1800
648,94,1,133
649,94,1,1800
650,95,1,132
651,95,1,157
652,95,1,1800
653,95,1,171
654,95,1,82
655,96,1,103
656,96,1,63
657,96,1,82
658,96,1,519
659,97,1,1800
660,97,1,1800
661,97,1,240
662,98,1,42
663,98,1,1800
664,98,1,588
665,98,1,13
666,98,1,679
667,99,1,1800
668,99,1,22
669,99,1,52
670,99,1,335
671,99,1,31
672,99,1,1482
673,99,1,61
674,100,1,22
675,100,1,29
676,100,1,86
677,100,1,1800
678,100,1,23
679,100,1,254
680,101,1,81
681,101,1,1800
682,101,1,1800
683,101,1,64
684,101,1,1036
685,101,1,234
686,102,1,708
687,102,1,445
688,102,1,31
689,102,1,62
690,102,1,311
691,102,8,1800
692,102,1,143
693,102,1,630
694,103,1,13
695,103,1,253
696,103,1,44
697,103,1,81
698,104,1,13
699,104,1,1800
700,104,1,33
701,104,1,278
702,104,1,23
703,104,1,1800
704,104,1,31
705,105,1,1019
706,105,1,179
707,105,1,1800
708,106,1,13
709,106,1,46
710,106,1,12
711,106,1,41
712,106,1,1800
713,107,1,112
714,107,1,32
715,107,1,1800
716,108,1,381
717,108,1,157
718,108,1,12
719,108,1,1800
720,108,1,75
721,108,1,52
722,109,1,230
723,110,1,1800
724,110,1,21
725,110,1,395
726,110,1,1800
727,110,1,353
728,110,1,33
729,110,1,40
730,111,1,334
731,111,1,50
732,111,1,114
733,111,1,84
734,111,1,43
735,112,1,1800
736,112,1,42
737,112,1,43
738,112,1,132
739,113,1,303
740,113,1,383
741,113,1,252
742,113,1,21
743,114,1,365
744,114,1,33
745,114,1,31
746,114,1,13
747,114,1,277
748,114,1,1800
749,114,1,76
750,114,1,22
751,115,1,206
752,115,1,1800
753,115,1,204
754,115,1,201
755,115,1,1800
756,115,1,1800
757,115,1,161
758,115,1,27
759,115,1,97
760,115,1,200
761,115,1,1800
762,115,2,1800
763,115,1,234
764,115,1,1800
765,115,1,189
766,115,1,440
767,115,1,94
768,115,1,13
769,115,1,1800
770,115,1,197
771,115,1,399
772,115,1,181
773,115,1,1800
774,115,1,1342
775,115,1,93
776,115,1,1800
777,115,1,201
778,115,1,1800
779,115,1,1492
780,115,1,162
781,115,1,1800
782,115,1,105
783,115,1,132
784,116,1,1476
785,116,1,169
786,116,1,601
787,116,1,364
788,116,1,1800
789,116,1,27
790,116,1,1800
791,116,1,491
792,117,1,91
793,117,1,62
794,117,1,51
795,117,1,91
796,117,1,607
797,117,1,51
798,117,1,90
799,117,1,51
800,117,1,90
801,117,1,91
802,117,1,52
803,117,1,1466
804,117,1,275
805,117,1,51
806,117,1,90
807,117,1,91
808,117,1,51
809,117,1,51
810,117,1,91
811,117,1,51
812,117,1,91
813,118,1,347
814,118,1,31
815,118,1,294
816,118,1,400
817,118,1,447
818,119,1,22
819,119,1,297
820,119,1,268
821,119,1,446
822,119,1,577
823,119,1,21
824,119,1,283
825,119,1,412
826,119,1,271
827,119,1,22
828,119,1,404
829,119,1,94
830,119,1,85
831,119,1,469
832,119,1,255
833,119,1,61
834,119,1,111
835,119,1,445
836,119,1,265
837,119,1,427
838,119,1,90
839,119,1,61
840,119,1,267
841,119,1,90
842,119,1,61
843,120,1,21
844,120,1,44
845,120,1,1800
846,120,1,333
847,120,1,194
848,120,1,205
849,120,1,647
850,120,1,30
851,121,1,143
852,121,1,282
853,121,1,41
854,121,1,1800
855,121,1,142
856,121,1,33
857,122,1,1800
858,122,1,152
859,122,1,1109
860,122,1,1800
861,122,1,1800
862,122,1,42
863,122,1,72
864,122,1,121
865,122,1,72
866,122,1,112
867,123,1,263
868,123,1,193
869,123,1,1800
870,123,1,1800
871,123,1,1372
872,124,1,215
873,124,1,62
874,124,1,91
875,124,1,676
876,124,1,23
877,124,1,134
878,124,1,405
879,124,1,385
880,124,1,62
881,124,1,91
882,124,1,1800
883,124,1,71
884,124,1,121
885,124,1,1800
886,124,1,305
887,124,1,33
888,124,1,1800
889,124,2,42
890,125,1,1800
891,125,1,446
892,125,1,634
893,125,1,556
894,125,1,52
895,125,1,1800
896,125,1,458
897,125,1,264
898,125,1,428
899,125,1,244
900,125,1,1071
901,126,1,223
902,126,1,31
903,127,1,120
904,127,1,71
905,127,1,1800
906,127,1,237
907,128,1,63
908,128,2,308
909,128,1,82
910,128,1,319
911,128,1,113
912,128,1,104
913,128,1,324
914,128,1,144
915,128,1,21
916,129,1,1231
917,129,1,112
918,129,1,171
919,129,1,81
920,129,1,120
921,129,1,1800
922,129,1,1800
923,129,1,12
924,129,1,141
