phase,instance,invocationID,startTime,requestedDuration,responseTime,actualDuration,actualMemoryUsage,memoryAllocationTimeout,connectionTimeout,functionTimeout
2,,min2.inv2,1686072272076129217,0,0,0,0,false,false,false
2,,min2.inv2,1686072274452053744,0,0,0,0,false,false,false
2,,min2.inv1,1686072277067847548,0,0,0,0,false,false,false
2,,min2.inv3,1686072278088672425,0,0,0,0,false,false,false
2,,min2.inv1,1686072284495267877,0,0,0,0,false,false,false
2,,min2.inv1,1686072284860863886,0,0,0,0,false,false,false
2,,min2.inv2,1686072287026117855,0,0,0,0,false,false,false
2,,min2.inv3,1686072287457374456,0,0,0,0,false,false,false
2,,min2.inv3,1686072288819846571,0,0,0,0,false,false,false
2,,min2.inv4,1686072290122037473,0,0,0,0,false,false,false
2,,min2.inv4,1686072290914947641,0,0,0,0,false,false,false
2,this is reply,min2.inv2,1686072282795578,100000,8417633,0,0,false,false,false
2,,min2.inv3,1686072291516537806,0,0,0,0,false,false,false
2,,min2.inv3,1686072292180346545,0,0,0,0,false,false,false
2,,min2.inv2,1686072292271648777,0,0,0,0,false,false,false
2,,min2.inv3,1686072298045118848,0,0,0,0,false,false,false
2,,min2.inv4,1686072298133324575,0,0,0,0,false,false,false
2,,min2.inv4,1686072302867996853,0,0,0,0,false,false,false
2,,min2.inv2,1686072302926146864,0,0,0,0,false,false,false
2,,min2.inv4,1686072303128465050,0,0,0,0,false,false,false
2,,min2.inv3,1686072303304764729,0,0,0,0,false,false,false
2,,min2.inv3,1686072305465130694,0,0,0,0,false,false,false
2,,min2.inv4,1686072306366415988,0,0,0,0,false,false,false
2,,min2.inv4,1686072308085090790,0,0,0,0,false,false,false
2,,min2.inv4,1686072308126266946,0,0,0,0,false,false,false
2,,min3.inv0,1686072309662933805,0,0,0,0,false,false,false
2,,min3.inv0,1686072309662979936,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663009139,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663071606,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663149115,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663193255,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663226350,0,0,0,0,false,false,false
2,,min3.inv0,1686072309663250383,0,0,0,0,false,false,false
2,this is reply,min2.inv4,1686072302010305,99000,8269904,0,0,false,false,false
2,,min3.inv1,1686072310529662411,0,0,0,0,false,false,false
2,,min3.inv1,1686072312748820708,0,0,0,0,false,false,false
2,,min3.inv1,1686072316785117952,0,0,0,0,false,false,false
2,,min3.inv1,1686072317005506677,0,0,0,0,false,false,false
2,,min3.inv1,1686072319957119457,0,0,0,0,false,false,false
2,,min3.inv2,1686072320740744068,0,0,0,0,false,false,false
2,,min3.inv1,1686072323440769620,0,0,0,0,false,false,false
2,,min3.inv3,1686072323796234704,0,0,0,0,false,false,false
2,,min3.inv2,1686072325134887634,0,0,0,0,false,false,false
2,,min3.inv2,1686072325283299725,0,0,0,0,false,false,false
2,,min3.inv1,1686072325885094474,0,0,0,0,false,false,false
2,,min3.inv2,1686072327355626748,0,0,0,0,false,false,false
2,,min3.inv3,1686072328555868223,0,0,0,0,false,false,false
